timestamp,solving_id,question_id,user_answer,elapsed_time
1565096190868,1,q5012,b,38000
1565096221062,2,q4706,c,24000
1565096293432,3,q4366,b,68000
1565096339668,4,q4829,a,42000
1565096401774,5,q6528,b,59000
1565096463370,6,q4793,a,58000
1565096501746,7,q6488,a,35000
1565097101361,8,q356,b,23000
1565097171393,9,q1382,c,22000
1565097240758,10,q830,b,25000
1565097297745,11,q11259,b,23000
1565097346903,12,q1092,a,20000
1565097396305,13,q524,a,22000
1565097447155,14,q485,c,21000
1565097496402,15,q11261,b,23000
1565097544796,16,q1329,b,20000
1565097588350,17,q1204,c,18000
1565126570152,18,q4891,b,28000
1565126633493,19,q5477,a,35000
1565126711968,20,q5049,b,47000
1565126787167,21,q17211,c,35000
1565130481697,22,q4760,c,41000
1565130592803,23,q5957,c,29000
1565130648696,24,q4041,d,35000
1565130697527,25,q8633,d,26000
1565130747697,26,q4480,c,28000
1565130789667,27,q4034,d,10000
1565184364524,28,q325,c,22000
1565184428456,29,q295,c,18000
1565184506667,30,q351,b,19000
1565184591613,31,q1298,a,20000
1565184656806,32,q1234,a,17000
1565184729584,33,q11263,b,20000
1565184809852,34,q391,b,21000
1565184886566,35,q1010,a,17000
1565184954179,36,q563,a,20000
1565185031706,37,q11262,a,18000
1565185188342,38,q3911,a,81000
1565185274171,39,q9786,a,22000
1565185332658,40,q4526,d,32000
1565185429040,41,q5231,a,49000
1565185478587,42,q4685,b,23000
1565185521429,43,q17249,c,19000
1565185605196,44,q5388,c,58000
1565185696744,45,q4324,a,57000
1565185756998,46,q4631,b,28000
1565185804571,47,q17122,b,38000
1565310208783,48,q6047,d,173000
1565310248409,49,q5379,c,13000
1565310320427,50,q5071,a,43000
1565310391354,51,q8940,a,22000
1565310440463,52,q5281,b,21000
1565310483202,53,q5330,a,18000
1565310528406,54,q4559,b,27000
1565310624544,55,q9724,a,49000
1565310728635,56,q6737,d,26000
1565310797025,57,q3791,d,50000
1565360618399,58,q150,c,44000
1565360692685,59,q8093,c,24000
1565360743731,60,q8061,b,23000
1565360793558,61,q11016,b,24000
1565360854043,62,q143,c,24000
1565360948359,63,q560,c,21000
1565361014170,64,q577,b,19000
1565361065508,65,q698,a,22000
1565361162865,66,q11249,b,23000
1565361219042,67,q1182,a,22000
1565395558060,68,q6838,b,53500
1565395558109,68,q6839,a,53500
1565395558175,68,q6837,a,53500
1565395558206,68,q6840,c,53500
1565395887882,69,q10635,a,59500
1565395888192,69,q10636,a,59500
1565395888425,69,q10634,b,59500
1565395888432,69,q10637,b,59500
1565558594636,70,q5499,a,9000
1565558654678,71,q6501,d,44000
1565558773386,72,q8687,a,38000
1565558821289,73,q8796,c,22000
1565558856183,74,q5978,b,19000
1565558926117,75,q5221,d,61000
1565559039795,76,q6186,d,51000
1565559114010,77,q9124,d,26000
1565559189099,78,q6055,b,55000
1565559231398,79,q4478,a,13000
1566025932980,80,q4276,c,8000
1566026001759,81,q17158,a,61000
1566026076643,82,q6522,b,52000
1566026152269,83,q5390,c,54000
1566026204991,84,q4304,a,30000
1566026273393,84,q4304,c,9000
1566026294413,85,q6501,c,13000
1566027677731,86,q6921,d,49750
1566027677734,86,q6924,a,49750
1566027677747,86,q6922,b,49750
1566027677787,86,q6923,b,49750
1566219014693,87,q5724,b,35000
1566219099863,88,q8557,d,58000
1566219161537,89,q3939,c,32000
1566219216118,90,q8482,a,33000
1566219292019,91,q6194,b,52000
1566219558556,92,q9034,b,14000
1566219614796,93,q4297,c,47000
1566219690567,94,q5432,c,37000
1566219731830,95,q3928,b,10000
1566219796264,96,q10067,d,29000
1566251064486,97,q6733,d,33000
1566251131356,98,q3774,a,19000
1566251198891,99,q4127,b,50000
1566251265049,100,q8641,c,24000
1566251306455,101,q4565,b,15000
1566251359877,102,q6454,c,26000
